Alignment ID,Average Rt(min),Average Mz,C1_DUO,C2_DUO,C3_DUO,C4_DUO,C5_DUO,C6_DUO,N1_DUO,N2_DUO,N3_DUO,N4_DUO,N5_DUO,N6_DUO
6811,14.307,500.28342,10037,5171,12859,9044,11148,12472,14877,15704,9744,10332,10301,13260
6812,10.411,500.30316,33965,26159,18581,23570,22628,19556,26314,24868,24118,22389,38953,26421
6813,11.418,500.30331,113592,96403,62481,87703,47707,74667,152496,105514,61060,97741,89787,28740
6814,10.034,500.30435,16220,17516,9356,13492,7998,8846,13708,12890,9095,8745,14622,9317
6827,10.965,501.25299,1232,1475,835,1423,747,1479,1612,1366,833,634,1601,1414
6831,14.274,501.27722,3011,3330,3648,2453,3124,3417,4038,3927,3128,2840,3221,3926
6832,13.593,501.28104,1979,1006,2724,3445,831,2071,2339,2414,1573,1783,2394,1420
6833,16.136,501.29785,3597,3372,3471,3934,3658,3841,3496,4095,3890,4222,2890,3897
6835,10.063,501.30725,5025,5627,2650,4534,2732,3113,4502,4731,3264,2630,4452,3074
6836,11.416,501.30798,33772,28215,18387,25471,14209,21523,42708,29977,17697,28186,24326,8944
6837,12.646,501.32349,6643,810,1367,12682,8752,6956,5776,3663,2281,2033,900,2816
6838,12.422,501.33746,1049,656,193,643,306,284,956,709,334,653,493,391
6848,8.024,502.28271,4838,1323,2274,2467,1122,2614,4570,3131,752,672,1256,2225
6849,9.79,502.28394,4234,3162,2196,2111,2780,9757,3760,2765,2119,2856,3178,2634
6851,15.068,502.29218,10124,16598,20264,16040,18481,23773,19259,20757,18083,17561,21728,21975
6852,14.165,502.29489,19630,8844,20590,23161,8015,12704,20046,18778,13049,21381,22706,14994
6853,10.421,502.3049,3218,2382,1495,2310,2362,1894,2419,2457,2090,1726,3488,2712
6854,12.655,502.3248,1744,272,382,4138,3242,2458,1605,1137,831,725,324,809
6861,6.999,503.11838,3655,17892,3134,420,4071,454,283,1038,1678,2871,12158,6673
6862,6.598,503.11899,511,1644,449,420,614,106,283,298,351,301,1307,610
6865,0.629,503.28317,1440,824,745,1493,1092,945,1497,1855,682,661,480,991
6866,15.083,503.29297,2706,4548,5940,4215,5403,5951,5444,5680,4769,4816,5942,5567
6867,14.161,503.29532,5772,2582,6142,6818,2299,4051,6009,5405,3882,6119,6495,4163
6868,11.472,503.3042,2405,1983,1456,1682,1240,1520,3153,2103,1330,1880,1896,836
6870,11.31,503.33554,1718,75,78,2172,1136,1136,1203,38,572,685,90,933
6871,13.229,503.33716,312,164,76,380,446,284,456,212,0,98,0,223
6872,12.066,503.33844,1421,636,244,1862,1858,1165,1758,814,348,558,328,951
6883,7.968,504.28134,1888,2104,649,1023,558,674,1319,2309,590,225,576,355
6884,14.249,504.30484,6974,4958,3538,5804,5638,5648,6872,4636,3953,4456,3770,5933
6885,16.135,504.3063,28351,28595,30002,29380,27604,27397,28285,30691,31058,30526,26632,30569
6893,10.976,505.20486,1466,1460,924,1725,1137,1754,1726,1804,930,709,1587,2070
6899,14.461,505.27451,119,122,0,164,358,101,292,76,76,270,218,202
6903,14.272,505.30969,1786,1534,754,1036,1557,1251,1578,1192,894,1117,968,1787
6904,16.11,505.31241,8382,7769,8051,7923,7409,7670,7807,8211,8604,8411,7432,8071
6919,7.368,506.26294,1108,458,404,274,653,599,2800,3446,394,436,298,366
6920,10.936,506.27917,1277,192,1225,2580,2059,882,2260,2742,568,484,1097,2310
6926,15.374,506.3262,5380,10403,8230,5610,7520,12714,12664,10270,5956,6714,8255,11567
6934,7.778,507.11478,449,2810,480,166,1171,534,235,217,465,240,1370,1599
6939,14.408,507.2692,15989,16059,5787,5716,11629,8838,14491,13996,11559,7425,7522,8341
6940,8.593,507.28006,2565,1448,764,562,458,795,2729,1088,1237,733,295,314
6941,10.975,507.2803,391,81,285,652,654,322,750,856,143,82,237,690
6942,14.868,507.32364,1528,840,1723,1532,1148,1974,1245,1400,1356,1753,1159,1204
6961,14.435,508.2746,4381,4010,1581,1683,2955,2409,3880,3789,2885,1945,1986,2052
6963,15.632,508.30334,6655,6967,4746,8408,7824,7075,9111,6973,6940,8984,5926,7520
6964,14.553,508.33929,7591,6355,5011,7593,8892,7065,10538,9362,7094,4622,6437,11348
6965,16.357,508.33963,8829,25868,17736,24688,29228,26005,29381,32112,20841,23490,37902,35574
6966,15.401,508.37558,2641,4076,5228,2023,5376,3877,2689,3527,2055,9502,3695,13088
6974,13.957,509.28653,4103,6108,8298,5642,8331,12504,6290,10375,7655,4983,10499,13176
6977,15.393,509.37781,872,1276,1500,566,1417,1378,959,1041,592,3191,1174,3749
6983,5.727,510.25381,7016,3152,731,804,605,749,736,835,433,536,536,300
6985,4.363,510.25583,5582,2806,9501,11307,7532,5039,10205,8377,5316,4287,3456,4894
6987,15.845,510.31979,1248,2574,189,591,353,1323,458,659,211,652,360,964
6990,15.488,510.35562,171043,250132,44949,131458,188615,89006,162675,180996,162072,90479,124736,166700
6992,16.629,510.39233,12458,24184,7389,9959,16655,7565,12212,15273,14098,13384,11379,18222
7007,10.957,511.23489,445,0,241,611,656,319,672,586,114,104,127,542
7016,14.647,511.30304,1526,4748,2295,2528,11646,5874,2346,4578,5308,1712,3439,5243
7017,11.962,511.30807,3310,5888,943,1670,3106,3251,2081,1655,846,2844,3099,2312
7028,9.085,512.26727,2073,1758,1300,1329,786,1519,1746,1757,569,966,1028,444
7029,10.151,512.26837,1470,844,699,933,793,1193,882,586,580,399,695,666
7030,9.6,512.26953,1795,2262,1026,1292,754,1431,1388,1258,690,526,676,862
7033,15.009,512.29803,8602,9143,7065,12826,14536,13352,18044,10947,14046,16410,13342,21354
7035,11.963,512.31244,1156,2009,339,461,1279,1149,612,644,322,820,1032,834
7040,8.498,512.34485,1032,640,281,1437,805,465,905,903,96,108,318,701
7044,6.287,512.74579,4377,1293,688,1120,186,327,1057,2297,314,106,235,227
7052,10.207,513.29181,3571,3082,1925,4949,2486,2719,6117,10444,3176,1984,3852,4704
7054,15.537,513.31879,15539,22697,9358,41993,56522,27964,15023,25252,32464,11555,18542,19127
7063,9.965,514.28253,114796,65996,38778,72450,31220,73902,88066,62419,27461,43842,61630,101741
7064,8.769,514.2829,7425,4093,2204,3976,2683,5460,4447,3154,1877,1510,2490,4425
7065,9.165,514.28394,4519,4166,2636,3469,3068,3082,3674,3586,2581,2242,2718,3601
7068,15.261,514.32355,4526,2535,3065,12131,14865,7892,3953,6941,9080,3104,5226,5158
7069,15.543,514.32404,4526,6594,3065,12131,14865,7892,3850,6941,9080,3104,5202,5158
7080,8.198,515.25836,321,999,338,667,216,754,1254,1580,430,212,387,529
7082,9.969,515.28583,32554,21509,12217,21745,9817,22317,26490,18924,9142,14460,18414,29710
7083,14.889,515.3136,4322,2908,4920,4690,3188,4678,3818,3326,3839,4924,4122,3955
7084,10.754,515.31415,12925,9456,7440,6207,6170,8661,7506,7449,5244,7062,4702,5242
7085,11.302,515.31598,5891,5595,2853,2700,2312,3785,4484,3431,2680,3226,3585,2098
7086,15.683,515.31934,1844,3183,225,1643,11568,2253,1287,2215,3231,291,699,1801
7093,14.944,515.81689,2297,1581,2847,2564,2008,2654,1979,1746,1908,2459,2148,1760
7094,10.467,516.25793,1562,1492,932,1576,961,1418,1436,1360,871,869,568,533
7095,9.924,516.28644,13686,8558,4883,7276,3264,7305,8976,6687,3064,4336,5399,8842
7096,10.515,516.29797,543803,576228,353206,467103,319026,462504,515267,509033,350248,362748,388048,224641
7097,9.42,516.29974,335715,325731,246940,295819,235533,291875,306670,293694,235063,237652,271196,231379
7098,13.981,516.3075,16072,9003,6993,19829,14654,15470,15792,19380,11707,4359,7353,9078
7108,9.546,516.80133,6070,5784,3828,5194,4310,4994,5072,4183,4084,3538,4455,2817
7109,10.478,516.80212,4020,4228,2465,3232,2025,3442,3744,3803,2422,2570,2814,2240
7114,11.23,517.28296,4074,885,3539,6785,3471,5393,8660,9338,661,2041,2127,1762
7115,14.873,517.2912,78,215,0,102,460,1852,76,224,221,89,80,173
